职位,公司名,地点,薪酬,发布时间
英文编辑-外研在线（语言教学产品）,北京外研在线教育科技有限公司,北京,1-1.5万/月,11-15
投行VP/FA（高科技方向）,上海引创金融信息服务有限公司,北京-朝阳区,2.5-3.5万/月,11-15
海外分析师（非银）,上海申银万国证券研究所有限公司,上海,0.8-1万/月,11-15
机构销售总监,中泰金控国际控股有限公司,北京-西城区,2-5万/月,11-15
股票分析师（商贸零售）,上海申银万国证券研究所有限公司,上海,1-1.5万/月,11-15
行业分析师,浙江舞台设计研究院有限公司,杭州,0.6-1.8万/月,11-15
杂志社编辑记者,《教育家》编辑部,北京-西城区,0.6-1万/月,11-15
教育行业编辑记者,《教育家》编辑部,北京-西城区,0.6-1万/月,11-15
债券研究员,金元顺安基金管理有限公司,上海-浦东新区,1-1.5万/月,11-15
风险政策研究专家(001800),瓜子二手车,北京-海淀区,1.5-2.5万/月,11-15
风险政策研究专家(001800),瓜子二手车,北京-海淀区,1.5-2.5万/月,11-15
Investment Research Analyst,弗若斯特沙利文（北京）咨询有限公司上海分公司,上海-徐汇区,1.2-1.8万/月,11-15
Senior Business Analyst-Financial Service,弗若斯特沙利文（北京）咨询有限公司上海分公司,上海-徐汇区,1.5-2.2万/月,11-15
投资分析师,弗若斯特沙利文（北京）咨询有限公司上海分公司,上海-徐汇区,1.5-2.2万/月,11-15
童书策划编辑（应届毕业生）,童趣出版有限公司,北京,4.5-6千/月,11-15
助理基金产品经理（应届）,链盟（上海）数字科技有限公司,上海-静安区,0.7-1万/月,11-15
港股研究员,云南滇商股权投资基金管理有限公司,深圳-南山区,2-3万/月,11-15
大消费行业研究员,云南滇商股权投资基金管理有限公司,深圳-南山区,2-3万/月,11-15
投资总监（商业文旅方向）,云南滇商股权投资基金管理有限公司,深圳-南山区,40-50万/年,11-15
风控合规高级经理/经理,云南滇商股权投资基金管理有限公司,深圳-南山区,2-2.5万/月,11-15
区块链研究员（DAG\IPFS）,夸克链科技（深圳）有限公司,深圳-南山区,5-10万/月,11-15
区块链研究员（EOS）,夸克链科技（深圳）有限公司,深圳-南山区,5-10万/月,11-15
区块链研究员（BTC）,夸克链科技（深圳）有限公司,深圳-南山区,5-10万/月,11-15
区块链研究员（Fabric）,夸克链科技（深圳）有限公司,深圳-南山区,5-10万/月,11-15
区块链架构师,夸克链科技（深圳）有限公司,深圳-南山区,5-10万/月,11-15
区块链经济金融课题研究实习生,夸克链科技（深圳）有限公司,深圳-南山区,200元/天,11-15
Blockchain researcher,夸克链科技（深圳）有限公司,深圳-南山区,5-10万/月,11-15
密码学、加密算法工程师,夸克链科技（深圳）有限公司,深圳-南山区,3.5-7万/月,11-15
投资总监,和灵投资管理（北京）有限公司,北京-东城区,2-3万/月,11-15
投资负责人,和灵投资管理（北京）有限公司,异地招聘,4-8万/月,11-15
投资负责人,和灵投资管理（北京）有限公司,上海-浦东新区,4-8万/月,11-15
投资总监,和灵投资管理（北京）有限公司,上海-浦东新区,2-3万/月,11-15
投资经理,和灵投资管理（北京）有限公司,上海-浦东新区,1-2万/月,11-15
投资经理,和灵投资管理（北京）有限公司,北京-东城区,1-2万/月,11-15
ABS项目经理,天风证券股份有限公司,北京,1-3万/月,11-15
音频算法工程师（深度学习方向）,软视视频软件（杭州）有限公司,杭州-西湖区,1.6-3.2万/月,11-15
资深音频算法工程师,软视视频软件（杭州）有限公司,杭州-西湖区,2-3.5万/月,11-15
视频算法软件工程师,软视视频软件（杭州）有限公司,杭州-西湖区,1.5-3万/月,11-15
投资总监,深圳市前海诚帮金融服务有限公司,广州-天河区,50-60万/年,11-15
投资总监,深圳市前海诚帮金融服务有限公司,深圳-南山区,60-80万/年,11-15
交易部经理/债券交易经理,上海天双资产管理有限公司,上海-浦东新区,2-3万/月,11-15
金融工程师,上海俊芮网络科技股份有限公司,上海-浦东新区,1.5-3万/月,11-15
产品经理（资本市场部）,上海陆浦投资管理集团有限公司,上海-浦东新区,30-40万/年,11-15
固收投资总监,友山基金管理有限公司,上海-浦东新区,50-60万/年,11-15
债券交易主管,创金合信基金管理有限公司,深圳-福田区,1-2万/月,11-15
信用研究员,创金合信基金管理有限公司,深圳-福田区,1-2万/月,11-15
财经编辑,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
会计专业教材编辑,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
医学图书编辑,北京四海华章科技发展有限公司,北京-海淀区,0.8-1万/月,11-15
教材编辑（计算机类）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
图书编辑（医学和护理类）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
建筑类图书编辑,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
教材编辑（机械、机电类）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
教材编辑（英语专业）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
教材编辑（财经类）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
教材编辑（建筑类）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
教材编辑（工科类）,北京四海华章科技发展有限公司,北京-海淀区,0.8-1.5万/月,11-15
投资总监(股票量化）,国道资产管理（上海）有限公司,上海-徐汇区,1.5-5万/月,11-15
杭实资管风控总监,杭实国贸投资（杭州）有限公司,杭州-江干区,25-35万/年,11-15
期权策略研究员,杭州开阳星基金管理有限公司,杭州-江干区,1.2-2.4万/月,11-15
AI产品经理,康美健康云服务有限公司,深圳,1.3-2.5万/月,11-15
产业分析师,上海城创投资管理股份有限公司,上海-黄浦区,1-1.5万/月,11-15
文案编辑,游读会网络科技（上海）有限公司,上海-杨浦区,6-30万/年,11-15
PR及广告事业部合伙人,游读会网络科技（上海）有限公司,上海-杨浦区,20-50万/年,11-15
资深产品经理（基金）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（量化）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（对公理财）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（债券）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（股票研究）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（股票APP）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（固收类产品旗舰店）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
资深产品经理（外汇）,万得信息技术股份有限公司（Wind资讯）,上海-浦东新区,,11-15
固定收益投资经理-HZXJ,深圳瀚德金融科技控股有限公司,广州-越秀区,1.5-2万/月,11-15
互联网金融/金融高级研究员—HDSYS,深圳瀚德金融科技控股有限公司,北京-海淀区,2-2.5万/月,11-15
财富顾问（新港西）,国信证券广州分公司,广州-海珠区,8-20万/年,11-15
财富顾问,国信证券广州分公司,广州,10-15万/年,11-15
资产运营管理部副部长,广州无线电集团有限公司,广州-天河区,3-4万/月,11-15
企划经理（广电产投）,广州无线电集团有限公司,广州-天河区,1-2万/月,11-15
股票期货操盘手,杭州柒念网络科技有限公司,杭州-江干区,6-8千/月,11-15
信用分析员(J11292),渤海证券股份有限公司,北京-西城区,1.5-2万/月,11-15
投资总监,杭州十棱投资管理有限公司,杭州-滨江区,2-2.5万/月,11-15
投资经理,杭州十棱投资管理有限公司,杭州-滨江区,0.8-1.5万/月,11-15
语义SLAM算法工程师,广东星舆科技有限公司,异地招聘,2-2.5万/月,11-15
语义SLAM算法工程师,广东星舆科技有限公司,异地招聘,2-2.5万/月,11-15
语义SLAM算法工程师,广东星舆科技有限公司,广州-天河区,2-2.5万/月,11-15
交易执行（后台）,永安期货股份有限公司,杭州,1.5-2千/月,11-15
社科策划编辑,北京对外经济贸易大学出版社有限责任公司,北京-朝阳区,6-8千/月,11-15
高级投资经理,凯银投资管理有限公司,杭州,15-20万/年,11-15
并购投资经理,凯银投资管理有限公司,杭州,6-8千/月,11-15
人民网研究院-研究员,人民网股份有限公司,北京-朝阳区,0.8-1.6万/月,11-15
债券基金产品经理,上海都颖股权投资基金管理有限公司,上海-浦东新区,3-4万/月,11-15
0311D9-AI产品经理,中国平安财产保险股份有限公司,上海-浦东新区,30-40万/年,11-15
031239-AI产品经理,中国平安财产保险股份有限公司,上海-浦东新区,2-2.5万/月,11-15
策略分析专员(10022157),宜信公司,北京-朝阳区,0.8-1万/月,11-15
策略分析专员(10023567),宜信公司,北京,0.8-1万/月,11-15
项目专员C6177,宜信公司,北京,1-1.5万/月,11-15
高德-导航服务架构师,阿里巴巴集团,北京,,11-15
1111FE-策略分析师（投资或风控领域）,平安科技（深圳）有限公司,深圳-南山区,1.5千以下/月,11-15
1111NB-人工智能解决方案资深工程师,平安科技（深圳）有限公司,上海-浦东新区,1.5千以下/月,11-15
11118H-资深数据专家,平安科技（深圳）有限公司,上海-浦东新区,1.5-2万/月,11-15
1111JJ-宏观经济研究员（上海）,平安科技（深圳）有限公司,上海-浦东新区,20-30万/年,11-15
1111JI-地方政府经济研究员（上海）,平安科技（深圳）有限公司,上海-浦东新区,20-30万/年,11-15
11118E-金融产品经理,平安科技（深圳）有限公司,上海-浦东新区,20-30万/年,11-15
亚博科技-系统研发工程师,阿里巴巴集团,北京,,11-15
钉钉事业部-安全风控架构师,阿里巴巴集团,杭州,,11-15
安全部-数据挖掘安全专家,阿里巴巴集团,杭州,,11-15
天猫营销平台-算法专家-品牌营销&导购链路,阿里巴巴集团,杭州,,11-15
蚂蚁金服-反洗钱产品经理,阿里巴巴集团,杭州,,11-15
iDST-内容搜索算法专家-NAI-杭州,阿里巴巴集团,杭州,,11-15
天猫-行业供应链算法,阿里巴巴集团,杭州,,11-15
淘宝-算法专家-时尚大脑,阿里巴巴集团,杭州,,11-15
云零售-算法专家-应用技术,阿里巴巴集团,杭州,,11-15
iDST-文本挖掘算法专家-情感分析&文本反垃圾-杭州,阿里巴巴集团,杭州,,11-15
iDST-翻译技术-数据挖掘专家-杭州,阿里巴巴集团,杭州,,11-15
iDST-翻译技术-机器翻译技术专家Linux/C++-北京,阿里巴巴集团,北京,,11-15
蚂蚁金服-算法测试工程师/专家,阿里巴巴集团,杭州,,11-15
阿里妈妈事业部-数字营销战略研究专家,阿里巴巴集团,北京,,11-15
技术战略部-政府科技事务管理高级专家-杭州,阿里巴巴集团,杭州,,11-15
数据服务-数据分析专家-杭州,阿里巴巴集团,杭州,,11-15
iDST-NLP高级算法专家-自然语言基础技术,阿里巴巴集团,杭州,,11-15
友盟-产品运营专家,阿里巴巴集团,北京,,11-15
搜索事业部-推荐算法专家-智能导购&推荐创新,阿里巴巴集团,杭州,,11-15
安全部-算法专家（基础安全数据）-北京/杭州,阿里巴巴集团,北京,,11-15
UC事业群-自然语言处理算法专家-国际信息流,阿里巴巴集团,广州,,11-15
钉钉-机器学习算法专家-研发中心,阿里巴巴集团,杭州,,11-15
优酷-人工智能高级专家-上海,阿里巴巴集团,上海,,11-15
淘宝技术部-淘宝-数据算法专家 -杭州,阿里巴巴集团,杭州,,11-15
安全部-国际策略专家,阿里巴巴集团,杭州,,11-15
智能服务事业部-自然语言处理算法专家-店小蜜,阿里巴巴集团,杭州,,11-15
天猫技术部-数据分析专家-行业&供应链平台,阿里巴巴集团,杭州,,11-15
天猫技术部-算法专家-行业&供应链平台,阿里巴巴集团,杭州,,11-15
信息平台事业部-IOT技术专家-智能硬件,阿里巴巴集团,杭州,,11-15
人工智能实验室-自然语言理解算法专家-杭州,阿里巴巴集团,杭州,,11-15
风险能力中台-Algorithm expert,阿里巴巴集团,杭州,,11-15
机器智能技术-机器学习算法专家/高级专家-杭州,阿里巴巴集团,杭州,,11-15
UC事业部-兴趣图谱算法专家,阿里巴巴集团,杭州,,11-15
蚂蚁金服-创新模型高级专家-网商银行,阿里巴巴集团,杭州,,11-15
阿里文学-推荐/搜索算法专家,阿里巴巴集团,北京,,11-15
Aliexpress-资深开发工程师 / 技术专家-杭州 / 深圳,阿里巴巴集团,杭州,,11-15
新零售供应链平台事业部-供应链计划调优产品经理,阿里巴巴集团,杭州,,11-15
平台治理-知识产权理论研究专家,阿里巴巴集团,杭州,,11-15
技术战略部-outreach manager-杭州,阿里巴巴集团,杭州,,11-15
平台治理-平台治理-国际风控专家-杭州,阿里巴巴集团,杭州,,11-15
阿里妈妈-广告引擎研发专家-北京,阿里巴巴集团,北京,,11-15
阿里文学-数据挖掘算法专家,阿里巴巴集团,北京,,11-15
国际技术事业部-数据挖掘专家,阿里巴巴集团,杭州,,11-15
UC事业部-语音合成算法专家,阿里巴巴集团,北京,,11-15
蚂蚁金服-算法专家(内容推荐算法方向）-数据运营,阿里巴巴集团,杭州,,11-15
CBU-算法专家-广告方向,阿里巴巴集团,杭州,,11-15
阿里文学-服务端方向java高级研发工程师-运营平台部,阿里巴巴集团,北京,,11-15
决策支持-用户研究专家/高级专家,阿里巴巴集团,杭州,,11-15
智能服务事业部-算法专家-北京专场专用,阿里巴巴集团,北京,,11-15
蚂蚁金服-反洗钱产品专家,阿里巴巴集团,杭州,,11-15
UC事业部-机器学习算法专家,阿里巴巴集团,北京,,11-15
量子实验室-QuFab Lab Manager-杭州,阿里巴巴集团,杭州,,11-15
Lazada-Data Scientist-Shenzhen,阿里巴巴集团,深圳,,11-15
Lazada-Data Scientist-Shenzhen,阿里巴巴集团,深圳,,11-15
零售通技术部-算法专家,阿里巴巴集团,杭州,,11-15
蚂蚁金服-数据挖掘工程师/专家/高级专家,阿里巴巴集团,杭州,,11-15
高德-高精定位算法开发专家/高级专家-高精度地图,阿里巴巴集团,北京,,11-15
天猫-算法专家-导购营销,阿里巴巴集团,杭州,,11-15
智能服务事业部-算法专家-智能决策,阿里巴巴集团,杭州,,11-15
零售通技术部-大数据架构师,阿里巴巴集团,杭州,,11-15
新零售供应链平台事业部-算法专家-供应链预测,阿里巴巴集团,杭州,,11-15
达摩院智能计算实验室-芯片研究科学家-上海,阿里巴巴集团,上海,,11-15
零售通技术部-高级算法专家,阿里巴巴集团,杭州,,11-15
Model Risk/Validation Quant Analyst,中国国际金融股份有限公司,北京,2-3万/月,11-15
Research Assistant,中国国际金融股份有限公司,深圳,1-2万/月,11-15
Research Assistant,中国国际金融股份有限公司,上海,1-2万/月,11-15
产品经理,中国国际金融股份有限公司,北京,2-3万/月,11-15
Risk Analyst-数量分析岗,中国国际金融股份有限公司,北京,,11-15
期权交易员,华泰长城资本管理有限公司,深圳-福田区,1-3万/月,11-15
战略客户负责人,华创证券有限责任公司投资银行部,深圳-福田区,1.5-2万/月,11-15
股票发行负责人,华创证券有限责任公司投资银行部,深圳-福田区,1.5-2万/月,11-15
儿童文学专业图书编辑,接力出版社,北京-东城区,10-15万/年,11-15
图书编辑,接力出版社,北京-东城区,4.5-6千/月,11-15
金融产品与系统研究员,北京风软技术有限公司,北京-海淀区,1-1.5万/月,11-15
高级投资经理（MD序列）,中泰证券股份有限公司上海花园石桥路证券营业部,上海-浦东新区,0.8-1.6万/月,11-15
投资经理（MD序列）,中泰证券股份有限公司上海花园石桥路证券营业部,上海-浦东新区,0.8-1万/月,11-15
宏观研究员,国海良时期货有限公司,杭州,0.7-1.4万/月,11-14
有色/黑色研究员,国海良时期货有限公司,杭州,10-15万/年,11-14
衍生品交易岗,国海良时期货有限公司,杭州,6-8千/月,11-14
期权管理岗,国海良时期货有限公司,杭州,6-10万/年,11-14
策略研究员,国海良时期货有限公司,杭州,8-12万/年,11-14
期权研究员,国海良时期货有限公司,杭州,8-10万/年,11-14
能源化工研究员,国海良时期货有限公司,杭州,8-15万/年,11-14
债券交易员,国海良时期货有限公司,杭州,6-8千/月,11-14
债券研究员,国海良时期货有限公司,杭州,6-8千/月,11-14
投资经理,国海良时期货有限公司,杭州,1-1.5万/月,11-14
期权研究员,国海良时期货有限公司,上海-浦东新区,0.8-1万/月,11-14
研究部-量化研究员,中信期货有限公司,异地招聘,1-1.5万/月,11-14
研究部-量化研究员,中信期货有限公司,上海,1-1.5万/月,11-14
研究部-原油研究实习生,中信期货有限公司,上海,1-2千/月,11-14
华南分公司业务部门总监,中信期货有限公司,深圳,0.7-3.5万/月,11-14
资产管理中心业务经理,中信期货有限公司,上海,1-2万/月,11-14
资产管理中心渠道经理（业务开发）,中信期货有限公司,深圳,1-1.5万/月,11-14
产业业务总部业务经理,中信期货有限公司,北京,0.8-1.6万/月,11-14
华南分公司运营岗,中信期货有限公司,深圳,0.4-1.2万/月,11-14
华南分公司客户经理,中信期货有限公司,深圳,0.3-1.5万/月,11-14
杭州萧山分公司-产业机构客户服务岗,中信期货有限公司,杭州,0.3-1.7万/月,11-14
杭州萧山分公司-副总经理,中信期货有限公司,杭州,1-3万/月,11-14
萧山分公司客户经理,中信期货有限公司,杭州,0.4-1.5万/月,11-14
萧山分公司业务部总监,中信期货有限公司,杭州,0.7-3万/月,11-14
业务岗,中信期货有限公司,深圳,0.3-1.7万/月,11-14
浙江分公司客户经理,中信期货有限公司,杭州,4-8千/月,11-14
产业业务总部-深圳地区负责人,中信期货有限公司,深圳,1.5-2万/月,11-14
浙江分公司运营岗,中信期货有限公司,杭州,0.4-1.2万/月,11-14
广东分公司营销总监,中信期货有限公司,广州,0.7-3.7万/月,11-14
浙江机构业务部业务经理,中信期货有限公司,杭州,0.3-1.7万/月,11-14
浙江分公司营销管理部总监,中信期货有限公司,杭州,0.7-3.7万/月,11-14
研究部量化研究组长,中信期货有限公司,上海-浦东新区,2-2.5万/月,11-14
上海中信广场分公司客户经理,中信期货有限公司,上海,0.3-1.7万/月,11-14
研究部-产品研究员,中信期货有限公司,上海,1-2万/月,11-14
资产管理中心-机构销售岗,中信期货有限公司,上海,0.7-1.5万/月,11-14
风险管理部-现货风险岗,中信期货有限公司,上海,1-1.8万/月,11-14
资产管理中心-FOF投资经理,中信期货有限公司,上海,2-4万/月,11-14
上海期货大厦营业部客户经理客户经理,中信期货有限公司,上海,0.3-1.7万/月,11-14
北京东城分公司业务总监,中信期货有限公司,北京,0.7-3.7万/月,11-14
期权研究员,东海期货有限责任公司,上海-浦东新区,1-1.5万/月,11-14
有色金属研究员,东海期货有限责任公司,上海-浦东新区,15-20万/年,11-14
研究员,东海期货有限责任公司,上海-浦东新区,13-18万/年,11-14
期权交易员,东海期货有限责任公司,上海-浦东新区,15-20万/年,11-14
(海外AI招聘)深度学习视频编解码算法 (MJ001109),欢聚时代（多玩YY）,广州-番禺区,2.5-5万/月,11-14
(海外AI招聘)自然语言处理算法 (MJ001110),欢聚时代（多玩YY）,广州-番禺区,2.5-5万/月,11-14
投资经理（财务分析）,浙江景裕资产管理有限公司,杭州,8-10万/年,11-14
资深投资经理（生物医药/医疗健康领域）,浙江景裕资产管理有限公司,杭州-西湖区,10-15万/年,11-14
资深投资经理,浙江景裕资产管理有限公司,杭州,15-30万/年,11-14
宏观经济研究员,北京国研网信息有限公司,北京-东城区,6-8千/月,11-14
策划经理,房天下,北京-丰台区,0.8-1.6万/月,11-14
高级策划经理,房天下,北京-丰台区,1-2万/月,11-14
商务拓展岗,大成基金管理有限公司,深圳-福田区,1.5-2万/月,11-14
资产配置研究员,大成基金管理有限公司,深圳-福田区,2-2.5万/月,11-14
媒体管理岗,大成基金管理有限公司,深圳-福田区,2-2.5万/月,11-14
固定收益基金经理,大成基金管理有限公司,深圳-福田区,3-4万/月,11-14
国际业务部产品经理助理,大成基金管理有限公司,深圳-福田区,2-2.5万/月,11-14
国际业务部投资经理助理,大成基金管理有限公司,深圳-福田区,2-2.5万/月,11-14
债券交易员,大成基金管理有限公司,深圳-福田区,1.5-2万/月,11-14
信用研究员,大成基金管理有限公司,深圳-福田区,2.5-3万/月,11-14
法学编辑（马克思主义理论）,中国人民大学书报资料中心,北京-海淀区,4.5-6千/月,11-14
教育学编辑,中国人民大学书报资料中心,北京-海淀区,8-10万/年,11-14
搜狗金融-风控算法工程师-北京-02176,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
搜狗金融-Java高级开发工程师-北京-02750,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
购物搜索-搜索排序研究员,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
DSP音频工程师,北京搜狗科技发展有限公司,北京,2-4万/月,11-14
搜狗地图-LBS数据挖掘工程师,北京搜狗科技发展有限公司,北京,2-4万/月,11-14
搜狗输入法-ios移动产品经理-北京-00524,北京搜狗科技发展有限公司,北京-海淀区,1.5-2.5万/月,11-14
搜狗输入法-资深自然语言研究员-北京-01993,北京搜狗科技发展有限公司,北京-海淀区,2.5-5万/月,11-14
搜狗输入法-自然语言处理研发工程师-北京-02200,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
智能语音-声纹语种研究员-北京-02031,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
搜狗金融-风控算法工程师-北京-02176,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
智能语音-数据挖掘研究员-北京-02334,北京搜狗科技发展有限公司,北京-海淀区,2-4万/月,11-14
搜狗智能语音-语音合成研究员-北京-01801,北京搜狗科技发展有限公司,北京-海淀区,2.5-4.5万/月,11-14
智能语音-机器翻译研究员,北京搜狗科技发展有限公司,北京-海淀区,2.5-4.5万/月,11-14
搜狗输入法-资深数据挖掘算法专家,北京搜狗科技发展有限公司,北京-海淀区,4-6万/月,11-14
unity高级开发（游戏）,广州汇量信息科技有限公司,北京-朝阳区,3-4万/月,11-14
日本文学编辑,上海译文出版社有限公司,上海-黄浦区,8-15万/年,11-14
投资经理,深圳市丹桂顺资产管理有限公司,北京-西城区,0.8-1万/月,11-14
投资经理（上海）,深圳市丹桂顺资产管理有限公司,深圳-福田区,0.8-1万/月,11-14
投资经理,深圳市丹桂顺资产管理有限公司,上海-虹口区,0.8-1万/月,11-14
研究所-各研究方向研究员,海通证券全国总部,深圳,,11-14
研究所-研究销售,海通证券全国总部,深圳,,11-14
研究所-研究员-各行业研究方向、中小市值、新三板研究方向,海通证券全国总部,深圳,,11-14
投资银行部-保荐业务岗,海通证券全国总部,深圳,,11-14
上海自贸试验区分公司-机构销售岗,海通证券全国总部,上海,,11-14
证券金融部-征信管理岗,海通证券全国总部,上海,,11-14
战略发展部-子公司规划发展岗,海通证券全国总部,上海,,11-14
研究所-各研究方向研究员,海通证券全国总部,上海,,11-14
研究所-研究销售,海通证券全国总部,上海,,11-14
财富管理中心-权益投资岗,海通证券全国总部,上海,,11-14
零售与网络金融部-产品经理（移动平台方向）,海通证券全国总部,上海,,11-14
零售与网络金融部-产品经理（金融理财方向）,海通证券全国总部,上海,,11-14
零售与网络金融部-产品经理（策略平台方向）,海通证券全国总部,上海,,11-14
零售与网络金融部-数据挖掘岗（策略研究方向）,海通证券全国总部,上海,,11-14
权益投资交易部-统计分析岗（合规方向）,海通证券全国总部,上海,,11-14
权益投资交易部-统计分析岗（财务方向）,海通证券全国总部,上海,,11-14
权益投资交易部-产品销售岗,海通证券全国总部,上海,,11-14
权益投资交易部-交易员,海通证券全国总部,上海,,11-14
权益投资交易部-对冲交易岗,海通证券全国总部,上海,,11-14
权益投资交易部-产品经理（场外期权产品运营方向）,海通证券全国总部,上海,,11-14
权益投资交易部-产品经理岗（期权结构定价设计方向）,海通证券全国总部,上海,,11-14
权益投资交易部-风险管理岗,海通证券全国总部,上海,,11-14
上海海通证券资产管理有限公司-固定收益投资经理助理,上海海通证券资产管理有限公司,上海,,11-14
上海海通证券资产管理有限公司-固定收益投资经理,上海海通证券资产管理有限公司,上海,,11-14
上海海通证券资产管理有限公司-信用研究员,上海海通证券资产管理有限公司,上海,,11-14
上海海通证券资产管理有限公司-ABS项目经理,上海海通证券资产管理有限公司,上海,,11-14
计划财务部-H股报表及子公司财务管理岗,海通证券全国总部,上海,,11-14
财富管理中心-创新交易工具管理岗,海通证券全国总部,上海,,11-14
新三板与结构融资部-三板业务岗（财务方向）,海通证券全国总部,上海,,11-14
企业金融部-项目管理岗,海通证券全国总部,上海,,11-14
上海海通证券资产管理有限公司-固定收益风控经理,上海海通证券资产管理有限公司,上海,,11-14
风险管理部-风控指标并表管理岗,海通证券全国总部,上海,,11-14
风险管理部-信用风险计量岗,海通证券全国总部,上海,,11-14
风险管理部-衍生品业务信用风险管理岗,海通证券全国总部,上海,,11-14
合规法务部-反洗钱管理岗,海通证券全国总部,上海,,11-14
北京债券融资部-ABS承做岗,海通证券全国总部,北京,,11-14
研究所-各研究方向研究员,海通证券全国总部,北京,,11-14
债券融资总部-资产证券化业务承做人员,海通证券全国总部,北京,,11-14
债券融资总部-资产证券化业务承揽人员,海通证券全国总部,北京,,11-14
北京债券融资部-业务支持岗,海通证券全国总部,北京,,11-14
研究所-研究销售,海通证券全国总部,北京,,11-14
研究所-研究员-各行业研究方向、中小市值、新三板研究方向,海通证券全国总部,北京,,11-14
研究所-研究员-各行业研究方向、中小市值、新三板研究方向,海通证券全国总部,上海,,11-14
投资银行部-保荐业务岗,海通证券全国总部,北京,,11-14
海通吉禾股权投资基金管理有限责任公司-投资经理,子公司,上海,,11-14
视觉高级算法工程师（Leader储备）,上海悠络客电子科技股份有限公司,上海-徐汇区,3-5万/月,11-14
算法工程师（深度学习视觉方向）,上海悠络客电子科技股份有限公司,上海-徐汇区,3-4万/月,11-14
医学支持（临床医学方向）,中国医学论坛报社,上海-黄浦区,1-1.5万/月,11-14
权威医学媒体医学编辑（肿瘤领域）,中国医学论坛报社,北京-西城区,1-1.5万/月,11-14
医学编辑（学术支持）,中国医学论坛报社,北京-西城区,0.8-1万/月,11-14
金融机构项目经理,国信期货有限责任公司,上海-虹口区,1.5-2万/月,11-14
金融机构业务主管,国信期货有限责任公司,上海-虹口区,1.8-2.5万/月,11-14
基金研究员(私募）,国信期货有限责任公司,深圳,1.5-2万/月,11-14
金融机构项目经理,国信期货有限责任公司,深圳,1.5-2万/月,11-14
金融机构业务主管,国信期货有限责任公司,深圳,1.8-2.5万/月,11-14
研究员,国信期货有限责任公司,上海-虹口区,0.8-1万/月,11-14
量化分析师,国信期货有限责任公司,上海-虹口区,1-1.2万/月,11-14
策略开发岗,国信期货有限责任公司,上海-虹口区,1-1.5万/月,11-14
二级市场投资经理,龙树资本管理股份有限公司,上海-长宁区,1.5-2.5万/月,11-14
"Associate Editor/Editor, Physics & Astronomy",麦克米伦信息咨询服务（上海）有限公司,北京-海淀区,1.2-1.8万/月,11-14
语音识别研发工程师(语言模型方向),北京远鉴科技股份有限公司,北京-海淀区,3-5万/月,11-14
语音识别算法工程师,北京远鉴科技股份有限公司,北京-海淀区,3-4万/月,11-14
高级数据分析师,上海画龙信息科技有限公司,上海-徐汇区,2-4万/月,11-14
高级商业数据分析师,上海画龙信息科技有限公司,上海-徐汇区,2-4万/月,11-14
首席量化工程师（Chief Quant Developer),衍升科技（上海）有限公司,上海-虹口区,40-60万/年,11-14
量化策略研究员,衍升科技（上海）有限公司,上海-虹口区,0.8-2.5万/月,11-14
高级量化策略研究员,衍升科技（上海）有限公司,上海-虹口区,2.5-4万/月,11-14
高级量化工程师,衍升科技（上海）有限公司,上海-虹口区,30-60万/年,11-14
金融外汇数据分析（助理）,北京万向联合控股集团有限公司,北京-石景山区,0.8-1.5万/月,11-14
金融外汇数据分析,北京万向联合控股集团有限公司,北京-海淀区,0.8-1.5万/月,11-14
金融外汇数据分析（助理）,北京万向联合控股集团有限公司,北京-海淀区,0.8-1.5万/月,11-14
金融外汇数据分析,北京万向联合控股集团有限公司,北京-朝阳区,0.8-1.5万/月,11-14
金融交易员,北京万向联合控股集团有限公司,北京-东城区,0.8-1.5万/月,11-14
化工行业研究员,深圳市裕晋投资有限公司,深圳,1-1.5万/月,11-14
